,translated_tweet,remove,tweet_clean,tweet
0,I-I haven't had the booster vaccine yet,I-I haven't had the booster vaccine yet,"['i-i', 'haven t', 'had', 'the', 'booster', 'vaccine', 'yet']",i-i haven t had the booster vaccine yet
1,"aa already has the booster vaccine, you can't scan the barcode, if you don't have an apk, care for protection, you can just download it and check the temperature of the bntr","aa already has the booster vaccine, you can't scan the barcode, if you don't have an apk, care for protection, you can just download it and check the temperature of the bntr","['aa', 'already', 'has', 'the', 'booster', 'vaccine', 'you', 'can t', 'scan', 'the', 'barcode', 'if', 'you', 'don t', 'have', 'an', 'apk', 'care', 'for', 'protection', 'you', 'can', 'just', 'download', 'it', 'and', 'check', 'the', 'temperature', 'of', 'the', 'bntr']",aa already has the booster vaccine you can t scan the barcode if you don t have an apk care for protection you can just download it and check the temperature of the bntr
2,"Amen, allahumma, amen, for the prayers for the family, honestly, think about the condition of the family, the booster vaccine, my friend at work","Amen, allahumma, amen, for the prayers for the family, honestly, think about the condition of the family, the booster vaccine, my friend at work","['amen', 'allahumma', 'amen', 'for', 'the', 'prayers', 'for', 'the', 'family', 'honestly', 'think', 'about', 'the', 'condition', 'of', 'the', 'family', 'the', 'booster', 'vaccine', 'my', 'friend', 'at', 'work']",amen allahumma amen for the prayers for the family honestly think about the condition of the family the booster vaccine my friend at work
3,"Amen, tomorrow is a booster vaccine even though","Amen, tomorrow is a booster vaccine even though","['amen', 'tomorrow', 'is', 'a', 'booster', 'vaccine', 'even', 'though']",amen tomorrow is a booster vaccine even though
4,"Amen, go home, take a break immediately, Sis, when the booster vaccine is weak, go home, take a break, wake up, thank God, it's fresh again, but again, people's immunity is different","Amen, go home, take a break immediately, Sis, when the booster vaccine is weak, go home, take a break, wake up, thank God, it's fresh again, but again, people's immunity is different","['amen', 'go', 'home', 'take', 'a', 'break', 'immediately', 'sis', 'when', 'the', 'booster', 'vaccine', 'is', 'weak', 'go', 'home', 'take', 'a', 'break', 'wake', 'up', 'thank', 'god', 'it s', 'fresh', 'again', 'but', 'again', 'people s', 'immunity', 'is', 'different']",amen go home take a break immediately sis when the booster vaccine is weak go home take a break wake up thank god it s fresh again but again people s immunity is different
5,abar vaccine booster dose present mnc care vaccination center free register record date thursday friday march wib goat land jl field football rt kebon Jeruk west jakarta mnc studios url,abar vaccine booster dose present mnc care vaccination center free register record date thursday friday march wib goat land jl field football rt kebon Jeruk west jakarta mnc studios url,"['abar', 'vaccine', 'booster', 'dose', 'present', 'mnc', 'care', 'vaccination', 'center', 'free', 'register', 'record', 'date', 'thursday', 'friday', 'march', 'wib', 'goat', 'land', 'jl', 'field', 'football', 'rt', 'kebon', 'jeruk', 'west', 'jakarta', 'mnc', 'studios', 'url']",abar vaccine booster dose present mnc care vaccination center free register record date thursday friday march wib goat land jl field football rt kebon jeruk west jakarta mnc studios url
6,abdull latif try to show scientific fact data is safe covid vaccine validity pcr test accurate results covid is dangerous from TB,abdull latif try to show scientific fact data is safe covid vaccine validity pcr test accurate results covid is dangerous from TB,"['abdull', 'latif', 'try', 'to', 'show', 'scientific', 'fact', 'data', 'is', 'safe', 'covid', 'vaccine', 'validity', 'pcr', 'test', 'accurate', 'results', 'covid', 'is', 'dangerous', 'from', 'tb']",abdull latif try to show scientific fact data is safe covid vaccine validity pcr test accurate results covid is dangerous from tb
7,abias booster vaccine effect of sleepy fever,abias booster vaccine effect of sleepy fever,"['abias', 'booster', 'vaccine', 'effect', 'of', 'sleepy', 'fever']",abias booster vaccine effect of sleepy fever
8,"After the booster, the former injection hurts, does the vaccine hurt?","After the booster, the former injection hurts, does the vaccine hurt?","['after', 'the', 'booster', 'the', 'former', 'injection', 'hurts', 'does', 'the', 'vaccine', 'hurt']",after the booster the former injection hurts does the vaccine hurt
9,"After the vaccine booster, just on the day of work, at night, feel the effect","After the vaccine booster, just on the day of work, at night, feel the effect","['after', 'the', 'vaccine', 'booster', 'just', 'on', 'the', 'day', 'of', 'work', 'at', 'night', 'feel', 'the', 'effect']",after the vaccine booster just on the day of work at night feel the effect
10,"After the vaccine booster, my lips are tingling with ants since the afternoon, it's really weird","After the vaccine booster, my lips are tingling with ants since the afternoon, it's really weird","['after', 'the', 'vaccine', 'booster', 'my', 'lips', 'are', 'tingling', 'with', 'ants', 'since', 'the', 'afternoon', 'it s', 'really', 'weird']",after the vaccine booster my lips are tingling with ants since the afternoon it s really weird
11,"After the az vaccine, until now there have been no side effects and I think the big needle seems to be because it's really frustrating when it's punctured","After the az vaccine, until now there have been no side effects and I think the big needle seems to be because it's really frustrating when it's punctured","['after', 'the', 'az', 'vaccine', 'until', 'now', 'there', 'have', 'been', 'no', 'side', 'effects', 'and', 'i', 'think', 'the', 'big', 'needle', 'seems', 'to', 'be', 'because', 'it s', 'really', 'frustrating', 'when', 'it s', 'punctured']",after the az vaccine until now there have been no side effects and i think the big needle seems to be because it s really frustrating when it s punctured
12,"finished the body vaccine on the left, astagfirullah gel","finished the body vaccine on the left, astagfirullah gel","['finished', 'the', 'body', 'vaccine', 'on', 'the', 'left', 'astagfirullah', 'gel']",finished the body vaccine on the left astagfirullah gel
13,after the booster vaccine,after the booster vaccine,"['after', 'the', 'booster', 'vaccine']",after the booster vaccine
